ID,val
/data/khokhlov/datasets/OSM_processed_margo/train/00000000_img.png,0.281898499
/data/khokhlov/datasets/OSM_processed_margo/train/00000001_img.png,0.358024597
/data/khokhlov/datasets/OSM_processed_margo/train/00000002_img.png,0.229335785
/data/khokhlov/datasets/OSM_processed_margo/train/00000003_img.png,0.321174622
/data/khokhlov/datasets/OSM_processed_margo/train/00000004_img.png,0.224662781
/data/khokhlov/datasets/OSM_processed_margo/train/00000005_img.png,0.370933533
/data/khokhlov/datasets/OSM_processed_margo/train/00000006_img.png,0.293689728
/data/khokhlov/datasets/OSM_processed_margo/train/00000007_img.png,0.403877258
/data/khokhlov/datasets/OSM_processed_margo/train/00000008_img.png,0.239929199
/data/khokhlov/datasets/OSM_processed_margo/train/00000009_img.png,0.465114594
/data/khokhlov/datasets/OSM_processed_margo/train/00000010_img.png,0.150741577
/data/khokhlov/datasets/OSM_processed_margo/train/00000011_img.png,0.318359375
/data/khokhlov/datasets/OSM_processed_margo/train/00000012_img.png,0.363925934
/data/khokhlov/datasets/OSM_processed_margo/train/00000013_img.png,0.259147644
/data/khokhlov/datasets/OSM_processed_margo/train/00000014_img.png,0.295459747
/data/khokhlov/datasets/OSM_processed_margo/train/00000015_img.png,0.364902496
/data/khokhlov/datasets/OSM_processed_margo/train/00000016_img.png,0.212020874
/data/khokhlov/datasets/OSM_processed_margo/train/00000017_img.png,0.316619873
/data/khokhlov/datasets/OSM_processed_margo/train/00000018_img.png,0.302322388
/data/khokhlov/datasets/OSM_processed_margo/train/00000019_img.png,0.260124207
/data/khokhlov/datasets/OSM_processed_margo/train/00000020_img.png,0.215820313
/data/khokhlov/datasets/OSM_processed_margo/train/00000021_img.png,0.276195526
/data/khokhlov/datasets/OSM_processed_margo/train/00000022_img.png,0.301868439
/data/khokhlov/datasets/OSM_processed_margo/train/00000023_img.png,0.418945313
/data/khokhlov/datasets/OSM_processed_margo/train/00000024_img.png,0.250892639
/data/khokhlov/datasets/OSM_processed_margo/train/00000025_img.png,0.198539734
/data/khokhlov/datasets/OSM_processed_margo/train/00000026_img.png,0.238243103
/data/khokhlov/datasets/OSM_processed_margo/train/00000027_img.png,0.288524628
/data/khokhlov/datasets/OSM_processed_margo/train/00000028_img.png,0.214374542
